"ds","Actual","Fitted","Error","AbsError","SqError","PctError","AbsPctError"
2015-11-01,114.8,114.274572716013,0.525427283987085,0.525427283987085,0.276073830758045,0.457689271765754,0.457689271765754
2015-12-01,114.8,114.498098706294,0.30190129370645,0.30190129370645,0.0911443911416283,0.26298022099865,0.26298022099865
2016-01-01,114.5,114.488617231782,0.0113827682184677,0.0113827682184677,0.000129567412315359,0.00994128228687138,0.00994128228687138
2016-02-01,114.5,114.511765060553,-0.0117650605531452,0.0117650605531452,0.000138416649819173,-0.0102751620551486,0.0102751620551486
2016-03-01,113.8,114.759319458348,-0.959319458347949,0.959319458347949,0.920293823165002,-0.842987221746879,0.842987221746879
2016-04-01,114.3,114.190628196824,0.109371803175932,0.109371803175932,0.0119621913299549,0.0956883667330991,0.0956883667330991
2016-05-01,114.6,114.575953716906,0.0240462830937531,0.0240462830937531,0.000578223730624917,0.020982795020727,0.020982795020727
2016-06-01,114.8,115.025125774378,-0.225125774378398,0.225125774378398,0.0506816142894734,-0.19610259092195,0.19610259092195
2016-07-01,115.1,115.351264586757,-0.25126458675679,0.25126458675679,0.0631338925580603,-0.21830111794682,0.21830111794682
2016-08-01,115.6,115.836267902493,-0.23626790249331,0.23626790249331,0.0558225217485883,-0.204383998696635,0.204383998696635
2016-09-01,115.3,116.18824635575,-0.888246355749544,0.888246355749544,0.788981588502346,-0.770378452514782,0.770378452514782
2016-10-01,115.7,116.533883151901,-0.83388315190119,0.83388315190119,0.695361111024664,-0.720728739759024,0.720728739759024
2016-11-01,116.8,116.935879500889,-0.135879500889189,0.135879500889189,0.0184632387618951,-0.116335189117456,0.116335189117456
2016-12-01,116.8,117.257520053422,-0.457520053421689,0.457520053421689,0.209324599282985,-0.391712374504871,0.391712374504871
2017-01-01,118.1,117.909361563516,0.190638436483908,0.190638436483908,0.0363430134650292,0.161421199393657,0.161421199393657
2017-02-01,119.6,118.432805592123,1.16719440787729,1.16719440787729,1.36234278578002,0.975915056753587,0.975915056753587
2017-03-01,119.4,118.523846572385,0.876153427614682,0.876153427614682,0.767644828720956,0.73379684054831,0.73379684054831
2017-04-01,119.2,118.467903985602,0.732096014398451,0.732096014398451,0.535964574298097,0.614174508723532,0.614174508723532
